카멜리아힐,제주특별자치도 서귀포시 안덕면 병악로 166,894250,895000,1477750,1478500
오셜록티뮤지엄,제주특별자치도 서귀포시 안덕면 신화역사로 15 오설록,886750,887750,1479500,1480250
안덕계곡,제주특별자치도 서귀포시 안덕면 일주서로 1524 안덕가든,891750,892250,1474000,1474500
용머리해안변,제주특별자치도 서귀포시 안덕면 사계남로216번길 28,889250,889750,1471750,1472250
소인국 테마파크,제주특별자치도 서귀포시 안덕면 중산간서로 1878,890000,891000,1478000,1478500
포레스트 판타지아,제주특별자치도 서귀포시 안덕면 일주서로 1836,890000,890500,1474000,1474750
항공우주박물관,제주특별자치도 서귀포시 안덕면 녹차분재로 218,887500,888000,1479750,1480250
화순곶자왈생태탐방숲길,제주특별자치도 서귀포시 안덕면 화순서동로 151,891000,891500,1475250,1475750
세계자동차제주박물관,제주특별자치도 서귀포시 안덕면 중산간서로 1610 세계자동차 제주박물관,892500,893250,1477250,1477750
헬로키티 아일랜드,제주특별자치도 서귀포시 안덕면 한창로 340 헬로키티 아일랜드,892750,893250,1478000,1478500
귤밭 76번지,제주특별자치도 서귀포시 안덕면 병악로 76,894000,894500,1477500,1478000
사계해변,제주특별자치도 서귀포시 대정읍 형제해안로 66,888250,889000,1471000,1471750
마라도 잠수함,제주특별자치도 서귀포시 안덕면 형제해안로 13 마라도잠수함,888500,888750,1471250,1471500
송악산,제주특별자치도 서귀포시 대정읍 송악관광로 421-1,886750,887750,1467750,1468750
노리매 공원,제주특별자치도 서귀포시 대정읍 중산간서로 2260-15 ,886750,887250,1477250,1477750
모슬포항,제주특별자치도 서귀포시 대정읍 하모항구로 30,883250,883750,1470000,1470500
알뜨르 비행장,제주특별자치도 서귀포시 대정읍 상모리,885500,886000,1470250,1470750
운진항,제주특별자치도 서귀포시 대정읍 최남단해안로125번길 6,884000,884500,1469500,1469750
환상숲 곶자왈 공원,제주특별자치도 제주시 한경면 녹차분재로 594-1,884500,885250,1481750,1482250
생각하는정원,제주특별자치도 제주시 한경면 저지리 1534,883500,884250,1482000,1482500
유리의성,제주특별자치도 제주시 한경면 저지리 3135-1,885500,886250,1480750,1481250
수월봉,제주특별자치도 제주시 한경면 고산리 3760,875500,876250,1478750,1479500
생이기정,제주특별자치도 제주시 한경면 용수리 산 60,875500,876250,1480250,1481000
청수곶자왈,제주특별자치도 제주시 한경면 청수리 1571,884000,884750,1479750,1480500
제주 현대 미술관,제주특별자치도 제주시 한경면 저지리 2114-63,884750,885500,1483500,1484250
라온 골프클럽,제주특별자치도 제주시 한경면 용금로 998,885750,887000,1483000,1484500
판포포구,제주시 한경면 판포리 2877-3,879000,879750,1486750,1487500
신창리포구,제주특별자치도 제주시 한경면 신창3길 18,877250,878000,1484500,1485250
낙천리아홉굿의자마을,제주특별자치도 제주시 한경면 낙천리 1916,881000,881750,1482250,1482750
싱계물공원,제주특별자치도 제주시 한경면 신창리 1322-1,876500,877000,1484250,1484750
협재해수욕장,제주특별자치도 제주시 한림읍 협재리 2447,882250,883250,1489500,1490500
금늠해수욕장,제주특별자치도 제주시 한림읍 금능리 2036-1,882000,882750,1489000,1489750
한림공원,제주특별자치도 제주시 한림읍 협재리 2487,882500,883250,1489000,1489750
월령 선인장 군락지,제주특별자치도 제주시 한림읍 월령리 359,880500,880750,1487750,1488250
더마파크,제주특별자치도 제주시 한림읍 월림7길 155,882750,883250,1485250,1486000
금능석물원,제주특별자치도 제주시 한림읍 한림로 176,881500,881750,1488750,1489000
한림항,제주특별자치도 제주시 한림읍 대림리 2019-17,884250,885000,1491750,1492500
그리스 신화 박물관 / 트릭아이 미술관,제주특별자치도 제주시 한림읍 광산로 942,893500,894000,1484500,1485000
제주 돌마을 공원 / 제주 선인장 마을,제주특별자치도 제주시 한림읍 금능남로 421,883750,884250,1485250,1485750
곽지해수욕장,제주도 제주시 애월읍 곽지리 1565,888500,889250,1495750,1496750
애월근린공원,제주특별자치도 제주시 애월읍 일주서로 6339 ,891250,891750,1497250,1497500
애월한담 해안 산책로,제주특별자치도 제주시 애월읍 곽지리 1359,889250,889750,1496750,1497250
애월항,제주특별자치도 제주시 애월읍 애월리 1772-10,890250,891000,1497750,1498000
선운정사,제주특별자치도 제주시 애월읍 봉성리 3608,889000,889250,1493750,1494500
제주공룡랜드,제주특별자치도 제주시 애월읍 광령평화2길 1,900500,901250,1494750,1495250
연화못,제주특별자치도 제주시 애월읍 하가로 172,892750,893000,1496250,1496750
장전리 벚꽃축제길,제주특별자치도 제주시 애월읍 장전리 628-3,896500,897000,1494750,1495250
고내리포구,제주특별자치도 제주시 애월읍 고내리 1111-2,891500,892500,1497750,1498250
테디베어사파리 테지움,제주시 애월읍 평화로 2159,896750,897250,1491500,1492000
렛츠런파크 제주,제주특별자치도 제주시 애월읍 평화로 2144,897000,897500,1491000,1491500
